area_id;weight;volume;fat;saturate;salt;sugar;protein;carb;fibre;alcohol;energy_fat;energy_saturate;energy_sugar;energy_protein;energy_carb;energy_fibre;energy_alcohol;energy_tot;f_energy_fat;f_energy_saturate;f_energy_sugar;f_energy_protein;f_energy_carb;f_energy_fibre;f_energy_alcohol;energy_density;h_nutrients_weight;h_nutrients_weight_norm;h_nutrients_calories;h_nutrients_calories_norm;f_beer;f_dairy;f_eggs;f_fats_oils;f_fish;f_fruit_veg;f_grains;f_meat_red;f_poultry;f_readymade;f_sauces;f_soft_drinks;f_spirits;f_sweets;f_tea_coffee;f_water;f_wine;f_dairy_weight;f_eggs_weight;f_fats_oils_weight;f_fish_weight;f_fruit_veg_weight;f_grains_weight;f_meat_red_weight;f_poultry_weight;f_readymade_weight;f_sauces_weight;f_sweets_weight;h_items;h_items_norm;h_items_weight;h_items_weight_norm;representativeness_norm;transaction_days;num_transactions;man_day;population;male;female;age_0_17;age_18_64;age_65+;avg_age;area_sq_km;people_per_sq_km;Local Authority;Number of entries;*;A;B;C;D;E;F;G;U;No Result;% *;% A;% B;% C;% D;% E;% F;% G;% U;% No Result
E09000001;323,1747500336382;98,84296340620392;8,47298454299954;3,361599313068192;0,5304962759067361;9,27806507392124;5,253333285337159;15,77963916657501;1,6198500693501017;0,3407193860072769;76,25686088693159;30,25439381750264;37,11226029568496;21,013333141348635;63,11855666630004;3,0779649617897333;2,385035702052359;165,85175135845947;0,4597893013629731;0,1824182956748708;0,2237676719823917;0,1266994949961788;0,3805721443958728;0,0185585315595326;0,0143805276852188;0,5131952646089971;1,7312080345298813;0,7455907176203331;1,61820832222971;0,6969243904636118;0,0263071410822639;0,1211010203836257;0,0117556529894114;0,022850821997964;0,0213070208485295;0,3228724640701523;0,1222889296792965;0,0464647274301241;0,0180639162531962;0,0571078175974093;0,0113805237381469;0,0219610923635547;0,0032928012055435;0,1396971713010091;0,0049584392058161;0,0226055451798295;0,0259849146741265;0,0833794429489279;0,0283474296429776;0,021973172122303;0,0207505237395812;0,4000268799136483;0,169268794024567;0,0549173705946522;0,0428927018397932;0,069720184494415;0,0142082755944994;0,0945152250846347;3,185382621431881;0,7793055851872854;2,745679157527354;0,793679268795289;1,0;365;842113,0;103883;6687,0;3697,0;2990,0;1018,0;4349,0;1320,0;43,9101241205279;2,9;2305,8620689655168;City of London;1075;814;192;53;9;5;1;1;0;0;0;0,7572093023255814;0,1786046511627907;0,04930232558139535;0,008372093023255815;0,004651162790697674;0,0009302325581395349;0,0009302325581395349;0,0;0,0;0,0
E09000002;421,3041248991111;122,3412937561377;9,209958879426454;3,5968337176736327;0,6030812875842949;10,793244450126377;5,1938716124516215;19,78498758058572;1,5903352530824315;0,2025403443169468;82,88962991475458;32,371503459633324;43,17297780050551;20,77548644980649;79,13995032234287;2,9515408296267256;1,4177824102192031;187,1743899263307;0,4428470687008987;0,1729483583324317;0,2306564365856772;0,1109953474830795;0,4228139883532746;0,0157689352201891;0,0075746602447975;0,4442738128214457;1,6216990993842144;0,6984277863535149;1,5452723679586886;0,6655125847183698;0,0107828201356852;0,096583371752897;0,0112659481802122;0,0314484841573314;0,0207173233081827;0,2481163042231629;0,1576176816416866;0,0510757640294763;0,0202543391363931;0,0619593035288491;0,0143443867961462;0,0370770720815995;0,0038224623025291;0,1797941361186461;0,0067702906468424;0,0394576229775308;0,0089126889828286;0,0573674340313103;0,0295135413881681;0,0299376006342372;0,0188413876839689;0,3382063494623284;0,2394024420382601;0,055799484308139;0,0493751060274418;0,0521760465558114;0,0146672415181028;0,1147133663522315;3,2760654838472147;0,8014911966380296;2,785400499010755;0,805161311472302;0,1733766046626172;365;4649347,0;397127;203101,0;99442,0;103659,0;60281,0;123180,0;19640,0;33,01732143080059;36,09000000000001;5627,625380991963;Barking and Dagenham;18518;731;2321;4225;5112;3228;1525;777;331;203;65;0,03947510530294848;0,12533750945026462;0,2281563883788746;0,2760557295604277;0,17431688087266445;0,08235230586456421;0,041959174856895994;0,01787450048601361;0,01096230694459445;0,003510098282751917
E09000003;407,170490779264;114,9337708021072;8,594464256148441;3,4073529420667685;0,5672109731463423;9,530548060564934;5,1296270223761615;17,025949985282526;1,6386388860507477;0,2277609618400551;77,35017830707292;30,66617648422981;38,122192242259736;20,51850808950465;68,1037999411301;3,088691223786064;1,5943267328860569;170,65550429436843;0,4532533458378785;0,1796963807937473;0,2233868306790838;0,1202334971517338;0,3990718038819068;0,0180989838948194;0,009342369233728;0,4191254232784873;1,6830803031630872;0,7248632319274013;1,5815069988986834;0,6811179908546664;0,011297564588163;0,1064669783968011;0,0127726757951423;0,0324303414048535;0,0242769540836842;0,3273261657982925;0,1327810441728612;0,0503899088468217;0,0201992926861754;0,0480645643515767;0,0145551453426259;0,0237971603033294;0,0030192628034778;0,1416068049223174;0,0061405963857063;0,0292420302407602;0,0156335098774106;0,0634248660061356;0,0273394469573201;0,0288338724724535;0,0219493787098046;0,4051634611282172;0,1912071814931812;0,055558901613475;0,0486923116971656;0,0490651274737716;0,0141322130537208;0,0946332393947545;3,1733689798881017;0,7763664412707859;2,7133541630020432;0,7843352498671035;0,72043904417034;365;58025525,0;4131210;378778,0;186357,0;192421,0;88754,0;237036,0;52988,0;37,195581580614814;86,76000000000003;4365,813739050253;Barnet;35997;5759;7733;8483;7276;3903;1567;658;341;198;79;0,15998555435175155;0,2148234575103481;0,2356585270994805;0,20212795510737006;0,10842570214184516;0,043531405394894016;0,018279301052865515;0,009473011639858878;0,005500458371530961;0,0021946273300552824
E09000004;359,5441264526956;106,44642598481062;9,119179509430143;3,466346231631616;0,5913255680851635;10,94108504257606;5,3044958844715575;19,997104634879232;1,657118423906515;0,2013249274351491;82,07261558529241;31,1971160846996;43,76434017030424;21,21798353788623;79,9884185395169;3,0664988666392405;1,4092744920468767;187,75479102131652;0,4371266114640684;0,1661588283047204;0,2330930674644435;0,113009012566168;0,4260259783753561;0,016332466670803;0,0075059309239511;0,5222023590643166;1,6249568279061557;0,6998308136604819;1,5517027986203091;0,6682820204626462;0,012230821833597;0,0950731237927436;0,0089477957187551;0,0252745254040784;0,017349436520541;0,2516808870165513;0,1703175217674487;0,0466665244123627;0,0201401611334822;0,0802888372031584;0,0128181288884959;0,0319802916822892;0,0030996196729573;0,1729355090113021;0,006770288766076;0,0314818935673619;0,0129446336087986;0,0620828296625095;0,0233698317774223;0,0278862063626683;0,0169504026179694;0,3430289165488717;0,2303644040865764;0,055024099629671;0,0500660586294694;0,0631736792352655;0,0145245609449175;0,1135290105046585;3,2348486398000045;0,7914074733974771;2,7799579863863584;0,8035880725057978;0,0549657100354934;365;2867212,0;380177;242387,0;116814,0;125573,0;56028,0;146237,0;40122,0;38,88074855496173;60,58000000000001;4001,105975569495;Bexley;30804;2250;4694;7187;7828;4590;2115;961;473;433;273;0,07304246201791975;0,1523828074276068;0,23331385534346188;0,25412284118945594;0,1490066225165563;0,06865991429684457;0,031197247110764836;0,015355148681989353;0,014056616023893001;0,008862485391507597
E09000005;434,3241407007912;128,9303687879201;8,962466234200795;3,559913328375349;0,5704772471698156;10,14861004051352;5,132914602106025;18,726476177055027;1,5859782802024174;0,2067565801833389;80,66219611082734;32,039219951380915;40,59444016205408;20,5316584084241;74,90590470822009;2,9635309755175814;1,4472960612823154;180,51058626604257;0,4468557649685138;0,1774921937495701;0,224886755961363;0,1137421291079507;0,4149668241496998;0,0164174912774912;0,0080177904865326;0,4156126020874292;1,6404693016569836;0,7065116724626925;1,5557355176336591;0,6700188180069927;0,0107287732141195;0,1150177624550727;0,0129384167799905;0,0329904730730467;0,0201803193993978;0,2706697291734987;0,1576854277285094;0,0461708582582939;0,0206701013901658;0,0474988721834985;0,0138106169317557;0,0315451695402804;0,003702811404873;0,1614077046864946;0,0059137784077828;0,0374725131777107;0,0115966721955087;0,0605785475104302;0,0285669952576909;0,0291271017065847;0,0179000516660514;0,3403267933574416;0,2612872316526665;0,0485171266350584;0,0523807451104747;0,0430138241115919;0,0136055025637515;0,104696080428258;3,239193616779871;0,7924704743710926;2,7343167767053376;0,7903948041564153;0,4506247179913164;365;26303807,0;2541113;323443,0;163939,0;159504,0;75033,0;211885,0;36525,0;35,76641633883278;43,28000000000002;7473,267097966725;Brent;29000;2576;5220;7104;6912;3870;1686;766;391;348;127;0,08882758620689656;0,18;0,2449655172413793;0,2383448275862069;0,13344827586206898;0,05813793103448276;0,026413793103448276;0,013482758620689655;0,012;0,004379310344827587
E09000006;319,3362732416998;101,10515902824764;9,123054404554082;3,556923892963736;0,5635827516694635;11,218736802665248;5,226794876416479;19,17552820913241;1,6298718441112332;0,2733488763389445;82,107489640855;32,0123150375822;44,87494721066099;20,907179505665923;76,70211283652962;3,0277313008184765;1,913442134370947;184,65795541681976;0,4446463703961066;0,1733600643704859;0,2430165930807956;0,1132211144571222;0,4153739960100475;0,0163964303297094;0,0103620888147051;0,578255497073004;1,649195808605761;0,7102699744393954;1,5677859409452854;0,6752086528421715;0,0193274160066853;0,0969555284853444;0,0087745732674839;0,0232145734065697;0,016208997226398;0,2470849941526025;0,1645483131794194;0,0427900256960952;0,0175700093998796;0,0772189685167778;0,0131595418051246;0,0352037664425454;0,0030320697005135;0,1797645857504314;0,005712658079666;0,0286684740089269;0,0207655048755356;0,0615287213150189;0,0212720090231166;0,0263009357661418;0,0177729073966911;0,347003950596859;0,2159077661357882;0,0554820008748794;0,045293952660472;0,0734557140846261;0,016755256516966;0,1192267856294406;3,2560286472229736;0,7965891736955745;2,7894422545019464;0,8063296408213826;0,1728180571861239;364;4850975,0;734232;325303,0;156274,0;169029,0;72176,0;196323,0;56804,0;39,85342895685855;150,1400000000001;2166,664446516584;Bromley;30765;3206;5670;7576;7464;3912;1548;691;360;258;80;0,10420932878270762;0,18430034129692832;0,24625385990573703;0,24261335933690883;0,1271574841540712;0,05031691857630424;0,0224605883308955;0,011701608971233545;0,008386153096050708;0,00260035754916301
E09000007;348,4204141662743;102,52597903160265;8,801149088521983;3,50345115517085;0,5403828420927888;9,426070542040328;5,234501881685119;16,306470373998266;1,633295464734644;0,2746551824963781;79,21034179562324;31,5310603969697;37,704282168161306;20,93800752674048;65,22588149599305;3,0903201182460567;1,9225862774629896;170,38713721269104;0,4648845158818912;0,1850554033172708;0,2212859655074536;0,1228849070960324;0,3828098914213977;0,0181370505356191;0,0112836350731279;0,4890274228632834;1,7110278408123376;0,7368995812488071;1,5936322226620143;0,6863400404909276;0,0161624102510472;0,1177400822588187;0,0121887367822552;0,0274966526866858;0,0234632195650355;0,3213319464972515;0,1304723227804312;0,0433303848470127;0,0186642446834945;0,0533535211057184;0,0128654976785607;0,0229204027182399;0,0025512906968816;0,1429662115831723;0,0052839210300228;0,0254196613035812;0,0237894935317903;0,0762412511537997;0,0274145133746062;0,0258723813931717;0,022050853649278;0,3889803934159472;0,1918824224437071;0,0513655394022216;0,0468006570733977;0,0592446857534725;0,0148081169337257;0,0953391854066725;3,177088024622951;0,7772763075813287;2,751559173590566;0,7953789746173479;0,158944621449998;365;8242186,0;917661;243837,0;121808,0;122029,0;46242,0;169330,0;28265,0;35,934275766521246;21,869999999999976;11149,382716049397;Camden;14319;1636;2437;3181;3303;2135;911;387;187;113;29;0,11425378867239333;0,1701934492632167;0,22215238494308262;0,23067253299811438;0,1491025909630561;0,0636217612961799;0,02702702702702703;0,013059571199106083;0,007891612542775334;0,002025281095048537
E09000008;353,6361232806845;107,46197655437;9,093330009791606;3,529782732092232;0,5678146853419849;10,969373282272771;5,1759192858971845;19,01623094171573;1,5995815525816195;0,2246214871109861;81,83997008732145;31,76804458985225;43,87749312909109;20,70367714358873;76,0649237668629;2,973780321728067;1,572350409775956;183,15470172867583;0,4468352126092762;0,1734492442182195;0,2395652020666709;0,1130392883621356;0,4153042376140852;0,0162364399803036;0,0085848214374819;0,517918531708663;1,6407455403268592;0,7066306419822412;1,5567771277832243;0,6704674150810619;0,0146414500299011;0,0996398670278256;0,0097451366658458;0,0259352903929362;0,0181038273472403;0,2471492770957188;0,1616781580891406;0,0449449467055967;0,0196984820768987;0,0689861311429275;0,0136518538713195;0,0398881345199985;0,0036070461181271;0,172794570302881;0,006452932071622;0,0379880923066099;0,0150948042354099;0,061937038922645;0,0236195611566251;0,0292691052603777;0,0185104559943606;0,3361479209814143;0,2285144717640531;0,0552500247537569;0,0526971821323573;0,0636613360851084;0,0158549592291636;0,1145379437201376;3,283979958070016;0,8034274770472185;2,8075946032264465;0,8115768463526919;0,2131477952808411;364;6479553,0;824237;380070,0;184305,0;195765,0;93166,0;237511,0;49393,0;36,89643486745178;86,57000000000002;4390,3199722767695;Croydon;35361;2262;5474;8502;9390;5392;2277;1021;492;429;122;0,0639687791634852;0,1548033143859054;0,24043437685585814;0,26554678883515737;0,152484375441871;0,06439297531178417;0,028873617827550126;0,013913633664206329;0,012132009841350641;0,003450128672831651
E09000009;358,569244836155;106,19736904293694;9,012152464384853;3,5885594579595423;0,5846568109226851;9,60223799612058;5,368475103899732;17,213206543729573;1,651457853907791;0,2342139160584097;81,10937217985341;32,29703511888734;38,40895198448232;21,473900415598926;68,85282617491829;3,1157242587433087;1,6394974124010466;176,19132044284248;0,4603482848984367;0,183306618269909;0,2179957099359069;0,1218783102460781;0,390784438199693;0,0176837556521637;0,0093052109960939;0,4913732088856408;1,6907855780752508;0,7281817132055812;1,5807685332284036;0,680799951001535;0,0142427669213895;0,1151312205192906;0,0128112947855883;0,029560459648167;0,0226819560137062;0,3033637579033391;0,1426170984530244;0,0499167550789258;0,0199736734576839;0,0539127801115428;0,0143880198999268;0,0231239874406801;0,003229974623292;0,1468969985232763;0,0061601241594861;0,0250982989003426;0,0168908335603377;0,0745483577785636;0,0297401942547638;0,0275642287444487;0,021890306163819;0,3700921438234773;0,2004150372394965;0,0564522603177381;0,0484709635162232;0,0551876113711488;0,0156703172430021;0,0999685795473184;3,2045880437106664;0,7840042021593998;2,791548579286849;0,8069385052294995;0,5191005535272342;364;15534369,0;1824981;344285,0;172747,0;171538,0;81217,0;222669,0;40399,0;36,143459633903646;55,55;6197,7497749774975;Ealing;27328;2363;4918;6743;6536;3646;1594;723;449;251;105;0,08646809133489461;0,179961943793911;0,2467432669789227;0,2391686182669789;0,13341627634660422;0,058328454332552696;0,02645638173302108;0,01643003512880562;0,009184718969555035;0,0038422131147540983
E09000010;416,0624556256864;122,35306225193656;8,890418667707014;3,5213475813033868;0,6231429825973593;9,947048603048634;5,480698946262788;18,56756377995097;1,5658528541598695;0,2255930756258786;80,01376801394473;31,69212823209166;39,788194412194535;21,92279578505116;74,27025511980388;2,948694078135962;1,5791515293793568;180,73466452780707;0,4427140096394411;0,1753516864896475;0,2201470012194195;0,1212982348589703;0,4109353084746892;0,0163150444096588;0,0087374026089853;0,4343931111400408;1,6553644902603373;0,7129266810222389;1,573450571057439;0,6776482762416325;0,0108927567592559;0,1051860308077666;0,0123256419358238;0,0336488310138728;0,0226791035147039;0,2659785241341505;0,1469141130366345;0,0608953258819657;0,0251706084244342;0,0546548429963082;0,017791240941563;0,0288203509106915;0,0033156535926114;0,1600559330513974;0,0062001298649617;0,031428150167237;0,0140427629666211;0,0571238705949532;0,0272739790447653;0,0329895334600837;0,0204972426015724;0,3505799857137233;0,2070846696801271;0,0671372808727269;0,061123523643343;0,0550575745792528;0,0169183971590979;0,1042139426503538;3,2929896689161136;0,8056317076900447;2,8334671587446287;0,8190556921199552;0,6795509910564322;365;49916158,0;3493012;328738,0;159756,0;168982,0;83274,0;203384,0;42080,0;36,19075068882577;80,84000000000006;4066,526472043539;Enfield;33724;2418;5001;7218;8208;5534;2694;1371;660;521;99;0,07169967975329142;0,14829201755426402;0,21403155023128928;0,24338749851737634;0,16409678567192504;0,0798837623057763;0,04065354050527814;0,019570632190724708;0,015448938441466019;0,002935594828608706
